Mã,PRICE_TO_EARNINGS,PRICE_TO_BOOK,PRICE_TO_SALES,MARKETCAP,PRICE_CHG_PCT_CR_1D,PRICE_CHG_PCT_CR_5D,PRICE_CHG_PCT_CR_1M,PRICE_CHG_PCT_CR_3M,PRICE_CHG_PCT_CR_6M,PRICE_CHG_PCT_CR_1Y,PRICE_CHG_PCT_CR_3Y,PRICE_CHG_PCT_CR_5Y,PRICE_HIGHEST_CR_52W,PRICE_LOWEST_CR_52W,PRICE_CHG_PCT_CR_HH52W,PRICE_CHG_PCT_CR_LL52W,NMVOLUME_AVG_CR_5D,NMVOLUME_AVG_CR_10D,NMVOLUME_AVG_CR_20D,NMVALUE_AVG_CR_20D,NMVALUE_AVG_CR_1M,ROAE_TR_AVG5Q,ROAA_TR_AVG5Q,NET_MARGIN_TR,NET_MARGIN_QR,GROSS_MARGIN_TR,GROSS_MARGIN_QR,EBIT_TR,EBITDA_TR,NET_PROFIT_TR_GRYOY,NET_PROFIT_YD_GRYOY,NET_PROFIT_QR_GRYOY,NET_SALES_TR_GRYOY,NET_SALES_QR_GRYOY,NET_SALES_TR_GR2YR,GROSS_PROFIT_TR_GRYOY,OPERATING_PROFIT_TR_GRYOY,EPS_TR_GRYOY,EPS_QR_GRYOY,PRETAX_PROFIT_TR_GRYOY,TOTAL_ASSETS_AQ_GRYOY,OWNERS_EQUITY_AQ_GRYOY,OWNERS_EQUITY_AQ_GRYTD,DEBT_TO_EQUITY_AQ,EQUITY_TO_ASSET_AQ,FINANCIAL_LEVERAGE_AQ,LOANS_TO_EQUITY_AQ,HTM_TO_EQUITY_AQ,FVTPL_AFS_TO_EQUITY_AQ,NET_CASH_TO_EQUITY_AQ,TOTAL_DEBT_AQ_GRYOY,TOTAL_CAP_AQ,OWNERS_EQUITY_AQ,TOTAL_ASSETS_AQ,EPS_TR,EPS_YD,BVPS_AQ,CURRENT_RATIO_AQ,QUICK_RATIO_AQ,CURRENT_ASSETS_AQ,CFO_TO_SALES_YD,CFO_TO_SALES_TR,CFO_TO_SALES_QR,CFO_YD,POSITIVE_CFO_NUM_CR_2YR,DIVIDEND_YIELD,DIVIDEND_PAYOUT_TR,DIVIDEND_PAYOUT_YD,DIVIDEND_PAID_TR,FOREIGN_OWNERSHIP,STATE_OWNERSHIP,TOTAL_INTERNAL_OWNERSHIP,FREEFLOAT,OUTSTANDING_SHARES,LISTED_SHARES,BETA,SHARES_ISSUE_PCT,ESOP_PCT,INFO_DISCLOSE,MEDIA,DIVIDEND_PAYMENT_NUM_CR_3Y
TCX,20.86527744003766,2.68901048154433,10.571429479830206,118584233344800.0,0.06875,-0.001382102742792626,-0.07117379732396661,0.024279210925644917,0.05880167592000165,0.05880167592000165,0.05880167592000165,0.05880167592000165,62852.0,42363.0,-0.1837968561064087,0.2109623964308477,1982262.0,2072781.0,2471590.5,126144195767.5,127236851250.0,0.1669281371048035,0.08429409077342577,0.506651757217714,0.4853147393012288,0.8918152315818523,0.8621161800355439,7108700741609.0,6950316351566.0,0.4763062964574113,0.4763062964574113,1.188421314982264,0.47302081235304894,0.8255928956970158,0.4607971731274425,0.44568928612416825,0.4803419481247848,,,0.480329867091064,0.5143876181985603,0.6769831796372087,0.6769831796372087,0.7047616999294625,0.5469223090693964,0.8284132561744062,0.9945612247274314,0.09223259547383099,0.5724796613497349,1.024956292990424,0.5143839224332145,44099580183375.0,44099580183375.0,80632256999009.0,2458.9231740082296,2458.9231740082296,19079.923481724032,2.1878777170770416,0.08859566332003628,76612765855403.0,-1.8332534579864497,-1.8332534579864497,-0.09277698024749491,-20564385947691.0,0.0,2.275859694235642e-07,0.0,0.0,0.0,0.08840599614740834,0.0,0.04557429258365387,0.9544257074163461,2311308021.0,2311308021.0,,0.0,0.0,0.0,0.0,1.0
VCK,25.787133987316338,3.200385195839114,11.171365066061098,92283456781600.0,0.028493894165535955,0.08285714285714285,0.24388722964324394,0.25809128630705397,0.19370078740157481,0.19370078740157481,0.19370078740157481,0.19370078740157481,37900.0,26688.0,0.0,0.4201139088729017,8988411.0,6825355.5,8306762.75,290909491270.0,270890670416.66666,0.22642922208649335,0.09608849918675495,0.4332146826225763,0.4285162770451399,0.5978791382883473,0.6241602610536305,4471406414508.0,3710602270725.0,0.4208020454865293,0.4208020454865293,0.21443185363431538,0.2774982217161768,0.5329660969540172,0.14600403330252726,0.38559064924821407,0.4156372110234085,,,0.41780022432878877,0.593866681101308,1.537649525089836,1.537649525089836,0.4482160162978957,0.5957374222597874,0.6785918806422119,0.7836376775431448,0.12713667798241285,0.4264269709085192,1.188912513885593,-0.2948547042075396,28835109255467.0,28835109255467.0,48402380273658.0,2414.2379298249352,2414.2379298249352,19452.74495538771,3.2751760432669967,0.5949708422686703,47710682737676.0,-0.7725379913610352,-0.7731552624222783,-3.1248883461550916,-6386814845213.0,0.0,0.0,0.0,0.0,0.0,0.026886181533394,0.0,0.0,1.0,1482315700.0,1482315700.0,,0.0,0.0,0.0,0.0,2.0
SSI,20.809247776294917,2.675485201222139,6.607871996872604,85444652874000.0,0.06909090909090909,0.053763440860215055,-0.06666666666666667,-0.03764320785597381,-0.21660582482879906,0.49755501222493886,0.9584332533972821,1.0615665100624079,37757.0,18299.0,-0.22133644092486163,0.6066451718673151,30771145.8,30125532.9,35137216.45,969870889177.5,1093374918750.0,0.1401803618926778,0.046208894384591484,0.317544971731272,0.2269616520871932,0.6050364454618458,0.5140560539044935,5082973996371.0,4531472059930.0,0.5184002551493939,0.5184002551493939,1.7529843703058174,0.5160409007305164,0.6214829872263382,0.35383254092726474,0.49267169330265637,0.43259710994318445,0.14064867960124638,0.5051133300692536,0.43443899329322666,0.27946443579222385,0.19531576732488268,0.19531576732488268,1.8761274992699737,0.34094976592906523,1.9329833891367167,1.2143601512821018,0.16313041586158109,1.213531522250911,0.9195308304535037,0.322151596125849,32486081857402.0,32066318460762.0,94049979396183.0,1648.3056168520038,1648.3056168520038,12820.104546444149,1.4429788308994353,0.033434956614069304,89322786682359.0,-0.8062656457337272,-0.8062656457337272,3.4390008386658675,-10425608767324.0,0.0,0.023606616734202255,0.5054383363148589,0.5054383363148589,2075375509000.0,0.2754298496385139,0.0,0.12729173005689703,0.8719094746236158,2491097752.0,2077906262.0,1.2787997152932153,0.2931285646190838,0.004830121760807558,0.0,0.03225806451612903,3.0
VPX,15.313656409363897,1.61556506848283,6.909728620830746,54656250000000.0,0.037366548042704624,-0.003418803418803419,-0.06570512820512821,0.019230769230769232,-0.05357142857142857,-0.05357142857142857,-0.05357142857142857,-0.05357142857142857,33000.0,27300.0,-0.11666666666666667,0.06776556776556776,1489880.4,1311150.2,1733495.1,51431180767.5,49579652083.333336,0.16616141244309365,0.07238852988195942,0.45121350748118055,0.3894554457180451,0.7978674561888066,0.7643494576266305,4475583663738.0,4450261467777.0,2.658081288682199,2.658081288682199,2.147892519924279,2.185687276774467,2.665819456040316,1.2339753164538163,2.4844398972233726,2.666904167355599,,,2.669417962374567,1.733296307496051,0.9438714105291359,0.9438714105291359,1.1037813662018705,0.4633305436025138,1.1582863763410536,1.0077496004955082,0.0010079500301477782,0.8143879762472933,0.9809178904070055,3.0879581153480697,33831042194622.0,33831042194622.0,73017077466072.0,1903.5297136597333,1903.5297136597333,18043.2225037984,1.8625302077367367,0.20654771914266534,72714372656156.0,-4.430028745007845,-4.430028745007845,-4.81658572309823,-35041717537848.0,0.0,0.0,0.0,0.0,0.0,0.054380632533333334,0.0,0.0,1.0,1875000000.0,1875000000.0,,0.0,0.0,0.0,0.0,0.0
VIX,8.19778685046715,1.3654176108081928,5.356858300281115,44350208673200.0,0.06784660766961652,0.06470588235294118,0.025495750708215296,-0.02578179665213413,-0.43745143745143744,1.0093250444049733,3.008859357696567,1.349428868120457,33442.0,8405.0,-0.45876442796483463,1.1534800713860798,42774720.2,36904030.1,33556350.05,557883846635.0,566353766458.3334,0.2946532372792402,0.20759235782510657,0.6534517666772289,0.612286283889666,0.8645239217020624,0.8502437097008212,6717012326793.0,6676324820911.0,7.1559767756000205,7.1559767756000205,10.467974613249721,3.5049056315016514,2.8586453117545965,1.8182952727683699,6.627887722897137,7.253241898689255,6.767642444577892,9.921944582495072,7.240458503619815,0.7426542987511396,0.3371835177713276,0.3371835177713276,0.5281810830999168,0.6279372908321007,0.5925157091321438,0.7168705174995023,0.024050603501549337,0.48273852479764895,0.9858515674238623,2.9831282952548333,21454763077640.0,21454763077640.0,34167047236850.0,3532.6607679357394,3532.6607679357394,14009.628299698465,2.859869694119499,0.17254353079889045,33962186395621.0,-0.841764969070975,-0.841764969070975,0.12030388893228083,-6969094558676.0,0.0,0.0,0.0,0.0,0.0,0.09457328080905159,0.0,0.034665715000053235,0.9653342849999468,1531429858.0,1531429858.0,1.4775457243271888,0.55535573134695,0.0,0.0,0.08108108108108109,0.0
VCI,24.800636424287987,1.8926139474343415,6.682726724452835,33281325825000.0,0.0661764705882353,0.0603290676416819,0.037752728573984616,0.1598144296912494,-0.08652786090024255,0.16139367240688826,0.6287559674248806,1.2369639000308548,34972.0,23230.0,-0.17076518357543177,0.248385708136031,11000742.6,10799091.3,11883390.65,377323338122.5,427717230000.0,0.0977483330281647,0.048642368762191045,0.26945787237573654,0.29019300321128577,0.5199028587490444,0.5941934541181438,1629219547893.0,1495437044186.0,0.4735545497430354,0.47355455007245517,1.0282566280608474,0.34763019409109636,0.5278428019606314,0.4211526724295801,0.30892800924551195,0.48525156560343535,0.12793502933183604,0.08210530573352205,0.4956064018709681,0.35400482439543857,0.39133741956970514,0.39133741956970514,0.8919845799428169,0.5001934163246253,0.9992266338647696,0.8976834481597074,0.022876311315065817,0.6760776852863853,1.0700681543229773,0.2776144230604053,18009896539949.0,18009896539949.0,36005864835815.0,1578.584292386778,1578.5842927396777,21185.621150392893,2.0703420483686092,0.17291968307975975,35868914519259.0,-1.7651365989735457,-1.7651365989735457,-2.3269660604399407,-8790735982232.0,0.0,0.005980697480016515,0.13373921308020692,0.13373921305030892,179471939750.0,0.17234243383131395,0.0,0.18814033290201151,0.8118596670979885,850100000.0,722600000.0,1.1859174153634746,0.0,0.0062026234537402025,0.0,0.05434782608695652,3.0
HCM,23.27379501074222,1.94391509008583,5.340748559790699,27430899443400.0,0.04742268041237113,0.08085106382978724,0.08779443254817987,0.1479188321959597,-0.05733902393765077,0.29137221007677055,0.9539964612662513,1.143279048181588,29207.0,18317.0,-0.13034546512822268,0.3866899601463122,19111281.0,16663290.5,13131400.25,296799537227.5,302459074375.0,0.10503463256165564,0.03134618684036595,0.2294747615215151,0.22813944737602831,0.38623030769900757,0.3920389825499952,1474303180574.0,1201780530493.0,0.13366197051479284,0.13366197051479284,0.40493078669650906,0.20109070105839355,0.18338763209461303,0.3370247038186646,0.1527484444182563,0.13810157979930054,-0.2442253529901381,-0.06337947553566062,0.13796239785977926,0.48371232308307033,0.3924957119038447,0.3924957119038447,2.123966322279016,0.3127624691689871,2.1973145712048177,1.9356273033731857,0.0,0.9273336405033831,1.0127549677304124,0.5119600892029661,14543143996022.0,14543143996022.0,46499006209611.0,1091.3561792684181,1091.3561792684181,13466.414335452539,1.4498516000520858,0.11531502610948123,46331257961416.0,-2.2809722075426238,-2.2809722075426238,-5.456441074566436,-11715421266854.0,0.0,0.026783811275958854,0.5497356261671189,0.5497356261671189,647927966835.0,0.3402023106300206,0.10757634266722196,0.36513220568083893,0.6340902034017228,1079956671.0,1080797089.0,1.1880073615928122,0.7136472568009483,0.0,1.0,0.05128205128205128,3.0
VND,12.911150159331669,1.248986157801145,3.931713087524179,26107443422200.0,0.06853582554517133,0.055384615384615386,-0.05509641873278237,-0.13383838383838384,-0.2809224318658281,0.30081917475728154,0.3181154407808777,1.3899108138238574,26800.0,12263.0,-0.36007462686567165,0.3985158607192367,12390627.4,12275153.7,13104876.85,207191633662.5,219549229166.66666,0.10019413681098777,0.040442794914548524,0.3045207467192605,0.23957600865366124,0.6157155049084501,0.6197256932006906,2508128947106.0,2154593199351.0,0.17670831821772162,0.17670831821772162,0.36080445095738256,0.24700284579797177,0.177481490956845,0.029278122661627225,0.2765228482080725,0.1995486256186603,0.17670831821772162,0.36080445095738256,0.20102473955862693,0.16557542481795887,0.06025035284619828,0.06025035284619828,1.2659901166542233,0.4048683444388332,1.4699387189335527,0.6850292896284044,0.4094294334347131,1.0796381531737442,0.9804837224538261,0.17946991793991407,20902908538364.0,20902908538364.0,51628903137232.0,1328.309235688399,1328.309235688399,13731.136964874599,1.7650534078486,0.05577995886798734,50579456377684.0,-0.6679283906924739,-0.6679283906924739,3.0582418728896044,-4435192060534.0,0.0,0.02570694087403599,0.376418371992177,0.376418371992177,761149954000.0,0.11312976144124486,0.0,0.24180926648844692,0.7581891392158969,1522299908.0,1522299908.0,1.3472086154971095,0.17418241081846,0.0,0.0,0.15178571428571427,2.0
MBS,18.94109686030683,1.829392127857489,5.885537995124862,21419974974000.0,0.07,0.08629441624365482,-0.014324535949518677,0.015806711919115205,-0.23962478681068788,0.24927028604786924,1.4728449272012942,1.841965471447543,31088.0,15720.0,-0.31163149768399384,0.361323155216285,4845714.4,5648026.2,5137211.8,119156187480.0,143550228333.33334,0.1551871131765699,0.04303060408810727,0.3107284672335243,0.30327024018199444,0.6953082131722877,0.6944882899704788,1415006331708.0,1120338403714.0,0.5209041058934444,0.5209041058934444,0.8639504406358106,0.16634504538897735,0.3408311180552551,0.4423240505890159,0.47934426231496297,0.5082110227025346,0.3225882704204994,0.6209036321733494,0.5204592242182934,0.390588105506295,0.15723437772451207,0.15723437772451207,2.217697993124084,0.2597710210539996,2.8495440944204717,1.8812962582407204,0.8082095238120325,0.7751578823087685,1.5792848889554791,0.35657624808901717,7994798664717.0,7994798664717.0,30776329985842.0,1716.9063002103467,1716.9063002103467,12137.808783181825,1.4406357347566283,0.12597680487101054,30570217920387.0,-1.1548267778792973,-1.1548267778792973,2.608076042672322,-4202905614061.0,0.0,0.040078797390053066,0.6069339555767913,0.6069339555767913,686365221360.0,0.03026699133572243,0.0,0.0031243647455528505,0.3129682409783399,658696746.0,589992834.0,1.5169133685536327,0.3556282905223616,0.0,0.0,0.09411764705882353,2.0
SHS,12.455537328113646,1.3275397922226368,4.560402473431855,16729997292000.0,0.08139534883720931,0.06285714285714286,0.010869565217391304,-0.05583756345177665,-0.3007518796992481,0.8317904274177664,1.31372061201642,0.846703733121525,29200.0,9901.0,-0.363013698630137,0.8785981214018787,15524657.6,17001094.3,16439866.55,273711426145.0,300416937916.6667,0.11446324909744295,0.07468353099603035,0.3661345434803907,0.13765949708840244,0.569590554969575,0.2967831271194745,1649368012380.0,1569855925175.0,0.3225269804160991,0.3225269804160991,-0.06897944587372004,0.8422764228904642,1.8975630226776097,0.6030597327509754,0.4660896683760029,0.3338335136819655,0.19705372107420935,-0.1521793065635112,0.3308967324883986,0.6418873362869045,0.12408090523029844,0.12408090523029844,0.6522641278183702,0.5471656397965708,0.8276001401911625,0.7219122474907923,0.0,0.8814155456570566,1.157982375955512,2.8393274170948155,12602256738376.0,12602256738376.0,23031886181781.0,1493.3117303592808,1493.3117303592808,14010.879454587875,2.241165646032411,0.08634201732972373,22932727930843.0,-1.696322744305545,-1.6963109494073403,-1.1542035753923747,-6223019806678.0,0.0,0.043886076859812384,0.6054015145884015,0.6054015145884015,813161683260.0,0.0682439146804854,0.006384022443988809,0.05446207957461515,0.9455379204253849,899462220.0,899462220.0,1.631134952490788,0.0,0.005743577881200127,0.0,0.06593406593406594,2.0
EVF,11.863417188263485,1.0742793105689799,,10609892937900.0,0.03333333333333333,0.010869565217391304,0.025735294117647058,0.25112107623318386,0.007220216606498195,0.6354044548651817,1.1012200632625395,0.7428785607196402,16250.0,7940.0,-0.14153846153846153,0.756926952141058,8914487.6,10787653.8,12846736.9,180507829000.0,186786699375.0,0.09453738585925939,0.012959854108134362,,,,,1104225000000.0,958107000000.0,0.5946895806512583,0.5946924241424626,0.20697972642892037,,,,,,0.5946895806512583,0.20697972642892037,0.5690051067530202,0.3936269031730481,0.09648971465900345,0.09648971465900345,,0.11890811496204864,7.409854956654265,,,,,,41045730560000.0,9876289000000.0,83058158000000.0,1175.8837928923867,1175.8837928923867,12985.449745477776,,,,,,,1546431000000.0,1.0,0.0001156557403365572,0.0009258254997836386,0.0009258254997836386,828000000.0,0.004584519828305401,0.0346294060694567,0.01810750491776647,0.9818924950822335,760565802.0,760565802.0,1.2775862320960347,0.7813218688910298,0.0,0.0,0.1,3.0
DSE,38.10616087363753,1.942127026284811,7.123239389375711,10385057795500.0,0.05434782608695652,0.021052631578947368,-0.00205761316872428,0.07305632992610292,-0.0893044915126934,0.33896526972558116,-0.034018483110261316,-0.034018483110261316,30349.0,17080.0,-0.2009621404329632,0.41978922716627637,273630.4,291345.2,322222.6,7585541250.0,8090441250.0,0.06530992604787367,0.02167678601264282,0.1869314364413888,0.02132421090680072,0.39829754219156954,0.2335588186479912,340225022364.0,248589183390.0,0.4993051044432613,0.4993051044432613,-0.7197635180053832,0.8056609029197305,0.8587069902684795,0.467838545645099,0.49685826374200065,0.5887065300931175,0.44416428624132004,-0.7300656445855126,0.4954848420287128,0.4232272147521814,0.06762857069090267,0.06762857069090267,2.1729774342206665,0.2841842516038865,2.51884382880534,1.355589036527906,1.0602976062741698,0.49048654873322367,1.2299713919708026,0.43293620423598966,4302329810995.0,4302329810995.0,15139226704905.0,795.4746837069468,795.4746837069468,12557.88035900467,1.2900551673672356,0.051875204426303195,12270836390601.0,-3.1917823241026575,-3.1917823241026575,-3.0186529228649115,-4653338473490.0,0.0,0.018452536720548075,0.0,0.0,0.0,0.11324666666666666,0.0,0.013546707530647985,0.2923709807355517,342600000.0,342600000.0,0.9951755950461884,0.0,0.0,0.0,0.06153846153846154,2.0
FTS,25.632279749758325,2.300858305203095,8.43394281038516,10169716564150.0,0.03527336860670194,0.07312614259597806,-0.015100671140939598,-0.10244648318042814,-0.18698060941828254,-0.20025068802964657,0.8870957371568187,3.156046445766072,44100.0,23950.0,-0.3344671201814059,0.2254697286012526,1310727.0,1127533.5,1001451.75,26927845175.0,32106716250.0,0.09297079225740615,0.03342381294224415,0.3290360004152451,0.34591842262770905,0.4857360804005981,0.5034279335883765,510693580825.0,334739365569.0,-0.30064861601761467,-0.30064861601761467,-0.1971990699673783,0.05058561903658395,0.1616995610978417,0.13310312422660978,-0.21083630989939706,-0.22953081775775472,-0.382550183718043,-0.29121569197879577,-0.22992435593255145,0.42626096723759727,0.07333648312003936,0.07333648312003936,1.981485619160271,0.31753360251831125,2.1492729968392332,1.8661105024576297,0.0,0.48188135294091566,1.108962760143106,0.5993802449223528,4419966471274.0,4419966471274.0,13919681054918.0,1145.0405616096916,1145.0405616096916,12756.109289141687,1.4475002231257887,0.30663566759261723,13750838979456.0,-0.7265127053583686,-0.7265127053583686,4.562356801241166,-876034905602.0,0.0,0.013319148018845388,0.3838547349447618,0.3838547349447618,152296007000.0,0.24894253577081882,0.0,0.022980971876233783,0.8661580649948266,346498009.0,346498009.0,1.1741129844260683,0.0,0.030218878151652633,0.0,0.14285714285714285,3.0
BSI,18.887071827724316,1.6867428010547076,4.4459032449277816,9323905834000.0,0.02981029810298103,0.02425876010781671,0.005291005291005291,-0.04040404040404041,-0.18015102481121897,-0.15895710681244743,0.8847336573752604,2.4576888080072794,57000.0,31850.0,-0.3333333333333333,0.19309262166405022,604516.0,495458.0,386584.0,13836589352.5,14939371875.0,0.09358203522860614,0.034531320326236965,0.23539399254052945,0.16805795941441234,0.57227078361451,0.5600515102488585,616205529645.0,555362240089.0,0.19511054970003217,0.19505994684762737,0.04289884936105289,0.4866602604674793,0.7759675847178725,0.303566221205469,0.38703336580034725,0.19820613529101114,0.08646780286286314,-0.05190693718007205,0.19492506400304957,0.6119886054354146,0.09203620446214665,0.09203620446214665,1.7373192140147975,0.33244168059370455,2.0080463984362886,1.6892635039644068,0.20593827842375215,0.7819975930569651,1.2127739487188836,0.969203367046929,5527757894191.0,5527757894191.0,16627752225049.0,2011.9582509460165,2011.9590660509882,22528.627349847815,1.4650545553599725,0.0958979509947421,16233651625008.0,-2.0261929423839837,-2.0261929423839837,0.5357396478251033,-4249312491867.0,0.0,0.0,0.0,0.0,0.0,0.35776785967727226,0.0,6.185091442084675e-05,0.23768449438980238,245365943.0,245365943.0,1.218955697401044,0.0,0.0,0.0,0.22988505747126436,1.0
ORS,72.66114301217634,1.127281676107518,5.801349549140534,8610246475200.0,0.026022304832713755,-0.007194244604316547,-0.0547945205479452,0.04150943396226415,-0.04827586206896552,0.7737789203084833,0.4883520276100086,0.31503716409376786,16600.0,7240.0,-0.1686746987951807,0.9060773480662984,3072374.4,3060557.2,2896538.6,38634668377.5,47315075625.0,0.025515781465694387,0.00974897386941295,0.07984115455173009,0.2502618278653136,0.5174659026053084,0.7097146193926737,147505078037.0,97451160290.0,-0.6874305838084025,-0.6874305838084025,0.37727513297901827,-0.28547139347125283,-0.21498742618016828,-0.274664541441947,-0.3057353830966486,-0.6766149333627968,-0.6874305838084025,0.37727513297901827,-0.6936231663006461,0.28024832189658866,0.9482747312760321,0.9482747312760321,0.2678690227926847,0.5327744492224463,0.8769668880695057,0.1911584799507243,0.17129860829998636,0.2695281281443213,1.148216440876364,-0.41509433962264153,7638061238546.0,7638061238546.0,14336388033798.0,352.674787313751,352.674787313751,22732.342502256022,5.3060901709082575,2.2192978122586893,14296526527256.0,1.329651672687646,1.329651672687646,6.195534785301992,1973442305282.0,1.0,0.0,0.0,0.0,0.0,0.0017825757682201561,0.0,0.0,1.0,335999743.0,335999743.0,1.191149080616839,0.31733384539531845,0.0,0.0,0.14285714285714285,0.0
CTS,10.701504083073399,2.163852921602513,2.948096532163525,6178744373900.0,0.058287795992714025,0.033807829181494664,-0.047540983606557376,-0.09501557632398754,-0.3050239234449761,0.26844817046546154,1.3602534936626585,2.3759442184776294,44900.0,21329.0,-0.3530066815144766,0.36199540531670493,908903.8,909581.9,835290.95,22615901232.5,24602256250.0,0.22578421836081086,0.054731617425002745,0.27548431596886813,0.06287178816308114,0.5947796467145691,0.5093475290925878,714652851935.0,600181393128.0,1.4985055363464694,1.4985055363464694,-0.5677795289849552,1.030369133532637,2.0040737948226117,0.46625013194004716,0.8432904524199697,1.5048872553624573,0.7472259463892016,-0.697744587501556,1.4866872900550723,0.4268251439114563,0.26744422493801706,0.26744422493801706,2.9497954512884808,0.23007861449140563,3.346340498487981,1.738526822202796,1.247659230999841,0.9743191862395223,1.3018425798291713,0.33051600835486233,2855436389514.0,2855436389514.0,12410698820601.0,2714.571687726445,2714.571687726445,13425.126869753265,1.2913893220954875,0.07679092804343769,12312369495806.0,-0.7868150077179434,-0.7868150077179434,0.4278688739724518,-1649039897167.0,0.0,0.0,0.0,0.0,0.0,0.005569091206522434,0.0,0.5843231761892047,0.4155030733736222,212693438.0,212693438.0,1.3478649953846276,0.0,0.0,0.0,0.0,0.0
VDS,14.491971911188594,1.3534357323111155,3.9382987523585737,4103055000000.0,0.06968641114982578,0.026755852842809364,-0.0943952802359882,-0.08083832335329341,-0.30699774266365687,0.10718407386035776,1.1198729457257286,0.8449519230769231,25250.0,12046.0,-0.3920792079207921,0.2742819193093143,710050.0,797095.0,848777.5,12464007695.0,13999903333.333334,0.09603247660132651,0.0399287196616398,0.27175727199125965,0.06226578626625032,0.47974398588749784,0.26843009458616346,346792272212.0,228943972143.0,-0.022909979314728775,-0.022818024893522408,-1.3727151989192306,0.05517655368189322,0.44800639371342404,0.16691156358670678,0.056601557510505836,-0.02367097731376728,-0.11173634483157162,-1.3220995546215573,-0.024877935719643907,0.2699716230707695,0.10383170454874482,0.10383170454874482,0.6191964529933869,0.38159791377944313,1.6205594000652277,1.2918248269410786,0.0,0.6000804850812429,1.8349380029964912,3.895331632653061,3166674363361.0,3099129510066.0,8121452969623.0,1059.2071316498316,1059.3068141526376,11341.506385226337,1.3855816947362847,0.19910496179275972,6925802937636.0,-0.8161600651447197,-0.8161809386099353,-0.27003198449958404,-850325354079.0,0.0,0.0,0.0,0.0,0.0,0.0073125552646019385,0.0,0.2942760050956039,0.6304768015493317,267300000.0,272000000.0,1.3361697286545333,0.0,0.0,0.0,0.03669724770642202,0.0
